&a 	I1
-3.243	17.1
-3.248	19.6
-3.253	21.4
-3.259	22.4
-3.264	23.8
-3.269	25.5
-3.275	27.1
-3.280	26.7
-3.285	24.3
-3.291	20.8
-3.296	18.1
-3.301	16.6
-3.306	15.7
-3.312	14.8
-3.317	13.2
-3.322	11.4
-3.328	10.2
-3.333	9.6
-3.338	9.8
-3.344	10.8
-3.349	12.8
-3.354	15.2
-3.360	18.1
-3.365	20.3
-3.370	21.7
-3.376	22.7
-3.381	24.1
-3.386	25.6
-3.392	26.4
-3.397	25.6
-3.402	23.8
-3.408	21.8
-3.413	20.1
